candidate_id,candidate_name,email,phone,experience_years,current_location
1,Sneha Mehta,candidate1@email.com,9204759463,1.6,Noida
2,Neha Verma,candidate2@email.com,9518915308,11.8,Noida
3,Amit Agarwal,candidate3@email.com,9410771620,6.9,Hyderabad
4,Rohit Chatterjee,candidate4@email.com,9546285747,11.0,Pune
5,Isha Verma,candidate5@email.com,9274154148,14.7,Chennai
6,Priya Iyer,candidate6@email.com,9161721221,8.3,Mumbai
7,Rahul Gupta,candidate7@email.com,9993700223,7.8,Noida
8,Riya Das,candidate8@email.com,9880044350,1.5,Bangalore
9,Amit Reddy,candidate9@email.com,9415169448,4.4,Chennai
10,Amit Agarwal,candidate10@email.com,9254995883,7.7,Noida
11,Riya Verma,candidate11@email.com,9786990168,10.3,Chennai
12,Isha Patel,candidate12@email.com,9117210500,12.2,Noida
13,Ankit Verma,candidate13@email.com,9574711549,6.0,Chennai
14,Isha Banerjee,candidate14@email.com,9966534427,1.5,Noida
15,Rahul Reddy,candidate15@email.com,9645237962,4.7,Noida
16,Rahul Agarwal,candidate16@email.com,9466044987,13.7,Chennai
17,Kunal Joshi,candidate17@email.com,9648450606,3.6,Chennai
18,Riya Mehta,candidate18@email.com,9250477863,7.1,Mumbai
19,Swati Patel,candidate19@email.com,9575676478,14.0,Pune
20,Isha Joshi,candidate20@email.com,9102064836,0.9,Hyderabad
21,Swati Kulkarni,candidate21@email.com,9947788901,9.2,Chennai
22,Rohit Iyer,candidate22@email.com,9993615994,14.3,Pune
23,Pooja Patel,candidate23@email.com,9665418135,3.8,Mumbai
24,Swati Gupta,candidate24@email.com,9407513715,8.5,Mumbai
25,Isha Verma,candidate25@email.com,9299523377,13.7,Mumbai
26,Shreya Iyer,candidate26@email.com,9486653577,2.4,Hyderabad
27,Kavya Agarwal,candidate27@email.com,9567345470,8.1,Mumbai
28,Riya Singh,candidate28@email.com,9143537978,11.4,Bangalore
29,Anjali Malhotra,candidate29@email.com,9539096571,10.2,Chennai
30,Pooja Joshi,candidate30@email.com,9334360175,7.3,Mumbai
31,Ankit Kulkarni,candidate31@email.com,9397262470,3.5,Bangalore
32,Ankit Gupta,candidate32@email.com,9713471490,7.6,Hyderabad
33,Isha Joshi,candidate33@email.com,9294010619,5.9,Hyderabad
34,Priya Kapoor,candidate34@email.com,9248256359,7.4,Bangalore
35,Sneha Malhotra,candidate35@email.com,9293412982,5.8,Hyderabad
36,Nikhil Gupta,candidate36@email.com,9660120358,12.6,Hyderabad
37,Rohit Bansal,candidate37@email.com,9927259823,11.6,Bangalore
38,Riya Kulkarni,candidate38@email.com,9347411883,5.1,Chennai
39,Sneha Mehta,candidate39@email.com,9864094322,8.8,Noida
40,Kavya Das,candidate40@email.com,9288578590,4.5,Hyderabad
